1|	|Heavy Oils|	|8|	|1|	|0|	|1|	|ED1
~~2|	|Light Oils|	|8|	|2|	|0|	|1|	|ED2
~~3|	|Syncrude|	|8|	|4|	|0|	|1|	|
~~4|	|Unionfining|	|8|	|5|	|0|	|1|	|
~~5|	|Utilities|	|8|	|6|	|0|	|1|	|ED4
~~6|	|Pumping & Shipping|	|8|	|7|	|0|	|1|	|ED5
~~7|	|Shift Supervisor|	|8|	|8|	|0|	|1|	|ED6
~~8|	|Synthetic Oils|	|8|	|3|	|0|	|0|	|ED3
~~
