2337481|	|947342|	|229|	|0|	||	|20.899999999999999|	|20.899999999999999|	|0|	||	|0
~~2337482|	|947342|	|230|	|0|	||	|0.0|	|0.0|	|0|	||	|0
~~2337483|	|947342|	|231|	|0|	||	|0.0|	|0.0|	|0|	||	|0
~~2337484|	|947342|	|232|	|0|	||	|0.0|	|0.0|	|0|	||	|0
~~2337485|	|947342|	|233|	|0|	||	|0.0|	|0.0|	|0|	||	|0
~~2337486|	|947342|	|46703|	|0|	||	|0.0|	|0.0|	|0|	||	|0
~~2337487|	|947342|	|203120|	|0|	||	||	||	|0|	||	|0
~~2337488|	|947343|	|229|	|0|	||	|20.899999999999999|	|20.899999999999999|	|0|	||	|0
~~2337489|	|947343|	|230|	|0|	||	|0.0|	|0.0|	|0|	||	|0
~~2337490|	|947343|	|231|	|0|	||	|0.0|	|0.0|	|0|	||	|0
~~2337491|	|947343|	|232|	|0|	||	|0.0|	|0.0|	|0|	||	|0
~~2337492|	|947343|	|233|	|0|	||	|0.0|	|0.0|	|0|	||	|0
~~2337493|	|947343|	|46703|	|0|	||	|0.0|	|0.0|	|0|	||	|0
~~2337494|	|947343|	|203121|	|0|	||	||	||	|0|	||	|0
~~2337495|	|947344|	|229|	|0|	||	|20.899999999999999|	|20.899999999999999|	|0|	||	|0
~~2337496|	|947344|	|230|	|0|	||	|0.0|	|0.0|	|0|	||	|0
~~2337497|	|947344|	|231|	|0|	||	|0.0|	|0.0|	|0|	||	|0
~~2337498|	|947344|	|232|	|0|	||	|0.0|	|0.0|	|0|	||	|0
~~2337499|	|947344|	|233|	|0|	||	|0.0|	|0.0|	|0|	||	|0
~~2337500|	|947344|	|46703|	|0|	||	|0.0|	|0.0|	|0|	||	|0
~~2337501|	|947344|	|203122|	|0|	||	||	||	|0|	||	|0
~~2337502|	|947345|	|229|	|0|	||	|20.899999999999999|	||	|0|	||	|0
~~2337503|	|947345|	|230|	|0|	||	|0.0|	||	|0|	||	|0
~~2337504|	|947345|	|231|	|0|	||	|0.0|	||	|0|	||	|0
~~2337505|	|947345|	|232|	|0|	||	|0.0|	||	|0|	||	|0
~~2337506|	|947345|	|233|	|0|	||	|0.0|	||	|0|	||	|0
~~2337507|	|947345|	|46703|	|0|	||	|0.0|	||	|0|	||	|0
~~2337508|	|947345|	|203123|	|0|	||	||	||	|0|	||	|0
~~2337509|	|947346|	|229|	|0|	||	|20.899999999999999|	||	|0|	||	|0
~~2337510|	|947346|	|230|	|0|	||	|0.0|	||	|0|	||	|0
~~2337511|	|947346|	|231|	|0|	||	|0.0|	||	|0|	||	|0
~~2337512|	|947346|	|232|	|0|	||	|0.0|	||	|0|	||	|0
~~2337513|	|947346|	|233|	|0|	||	|0.0|	||	|0|	||	|0
~~2337514|	|947346|	|46703|	|0|	||	|0.0|	||	|0|	||	|0
~~2337515|	|947346|	|203124|	|0|	||	||	||	|0|	||	|0
~~2337516|	|947347|	|229|	|0|	||	|20.899999999999999|	||	|0|	||	|0
~~2337517|	|947347|	|230|	|0|	||	|0.0|	||	|0|	||	|0
~~2337518|	|947347|	|231|	|0|	||	|0.0|	||	|0|	||	|0
~~2337519|	|947347|	|232|	|0|	||	|0.0|	||	|0|	||	|0
~~2337520|	|947347|	|233|	|0|	||	|0.0|	||	|0|	||	|0
~~2337521|	|947347|	|46703|	|0|	||	|0.0|	||	|0|	||	|0
~~2337522|	|947347|	|203125|	|0|	||	||	||	|0|	||	|0
~~2337523|	|947348|	|229|	|0|	||	||	||	|0|	||	|0
~~2337524|	|947348|	|230|	|0|	||	||	||	|0|	||	|0
~~2337525|	|947348|	|231|	|0|	||	||	||	|0|	||	|0
~~2337526|	|947348|	|232|	|0|	||	||	||	|0|	||	|0
