~~132|	|100|	|126749|	|2319|	|18|	|2011-10-24 00:00:00.000|	|6286|	|2011-10-24 20:46:16.343|	|6286|	|2011-10-25 04:20:11.640|	|0
~~133|	|100|	|126749|	|2319|	|18|	|2011-10-25 00:00:00.000|	|6286|	|2011-10-25 23:59:50.253|	|6286|	|2011-10-26 00:05:54.220|	|0
~~134|	|100|	|126749|	|2319|	|17|	|2011-11-01 00:00:00.000|	|6286|	|2011-11-01 15:08:30.790|	|6286|	|2011-11-01 16:07:11.753|	|0
~~135|	|100|	|126749|	|2319|	|17|	|2011-11-02 00:00:00.000|	|6286|	|2011-11-02 12:57:24.623|	|6286|	|2011-11-02 15:29:11.427|	|0
~~136|	|100|	|126749|	|2319|	|17|	|2011-11-03 00:00:00.000|	|6286|	|2011-11-03 14:27:54.487|	|6286|	|2011-11-03 15:55:26.260|	|0
~~137|	|100|	|126749|	|2319|	|18|	|2011-11-04 00:00:00.000|	|6286|	|2011-11-05 03:16:14.113|	|6286|	|2011-11-05 04:53:09.773|	|0
~~138|	|100|	|126749|	|2319|	|18|	|2011-11-05 00:00:00.000|	|6286|	|2011-11-06 03:44:58.063|	|6286|	|2011-11-06 04:02:40.547|	|0
~~139|	|100|	|126749|	|2319|	|17|	|2011-11-10 00:00:00.000|	|6286|	|2011-11-10 14:48:07.853|	|6286|	|2011-11-10 16:04:18.563|	|0
~~140|	|100|	|126749|	|2319|	|17|	|2011-11-11 00:00:00.000|	|6286|	|2011-11-11 14:43:05.743|	|6286|	|2011-11-11 14:44:00.257|	|0
~~141|	|100|	|126749|	|2319|	|17|	|2011-11-12 00:00:00.000|	|6286|	|2011-11-12 14:51:33.547|	|6286|	|2011-11-12 14:57:19.187|	|0
~~142|	|100|	|126749|	|2319|	|17|	|2011-11-13 00:00:00.000|	|6286|	|2011-11-13 15:04:49.937|	|6286|	|2011-11-13 15:55:46.187|	|0
~~143|	|100|	|126749|	|2319|	|17|	|2011-11-14 00:00:00.000|	|6286|	|2011-11-14 13:26:28.173|	|6286|	|2011-11-14 15:59:32.007|	|0
~~144|	|100|	|126749|	|2319|	|17|	|2011-11-15 00:00:00.000|	|6286|	|2011-11-15 14:11:37.973|	|6286|	|2011-11-15 16:05:46.107|	|0
~~145|	|100|	|126749|	|2078|	|18|	|2012-12-04 00:00:00.000|	|5652|	|2012-12-05 04:19:34.500|	|5652|	|2012-12-05 04:20:07.203|	|1
~~146|	|101|	|138363|	|2067|	|18|	|2013-01-01 00:00:00.000|	|5634|	|2013-01-02 03:23:29.080|	|5634|	|2013-01-02 03:24:58.643|	|1
~~147|	|101|	|138363|	|2067|	|18|	|2013-01-02 00:00:00.000|	|5634|	|2013-01-03 04:54:31.727|	|5634|	|2013-01-03 04:55:40.180|	|1
~~148|	|101|	|138363|	|2320|	|18|	|2013-08-14 00:00:00.000|	|8505|	|2013-08-15 07:13:49.200|	|8505|	|2013-08-15 07:22:13.210|	|0
~~149|	|101|	|138363|	|2320|	|17|	|2013-08-15 00:00:00.000|	|8505|	|2013-08-15 09:39:48.077|	|8505|	|2013-08-15 09:40:42.997|	|1
~~
