1|	|49
~~2|	|49
~~3|	|49
~~4|	|49
~~6|	|49
~~8|	|49
~~10|	|49
~~11|	|49
~~12|	|49
~~13|	|49
~~14|	|49
~~15|	|49
~~17|	|49
~~19|	|49
~~21|	|49
~~22|	|49
~~23|	|49
~~24|	|49
~~25|	|49
~~26|	|49
~~27|	|49
~~29|	|49
~~31|	|49
~~32|	|49
~~33|	|49
~~34|	|49
~~35|	|49
~~39|	|49
~~40|	|49
~~41|	|49
~~42|	|49
~~46|	|49
~~47|	|49
~~48|	|49
~~50|	|49
~~51|	|49
~~52|	|49
~~54|	|49
~~73|	|49
~~77|	|49
~~80|	|49
~~83|	|49
~~84|	|49
~~86|	|49
~~88|	|49
~~89|	|49
~~92|	|49
~~95|	|49
~~96|	|49
~~97|	|49
~~98|	|49
~~99|	|49
~~114|	|49
~~115|	|49
~~116|	|49
~~117|	|49
~~176|	|49
~~177|	|49
~~178|	|49
~~187|	|49
~~188|	|49
~~210|	|49
~~211|	|49
~~212|	|49
~~213|	|49
~~214|	|49
~~218|	|49
~~219|	|49
~~223|	|49
~~224|	|49
~~232|	|49
~~235|	|49
~~236|	|49
~~1|	|50
~~2|	|50
~~3|	|50
~~4|	|50
~~6|	|50
~~8|	|50
~~10|	|50
~~11|	|50
~~12|	|50
~~13|	|50
~~14|	|50
~~15|	|50
~~17|	|50
~~19|	|50
~~21|	|50
~~22|	|50
~~23|	|50
~~24|	|50
~~25|	|50
~~26|	|50
~~27|	|50
~~29|	|50
~~31|	|50
~~32|	|50
~~33|	|50
~~34|	|50
~~35|	|50
~~39|	|50
~~40|	|50
~~41|	|50
~~42|	|50
~~46|	|50
~~47|	|50
~~48|	|50
~~50|	|50
~~51|	|50
~~52|	|50
~~54|	|50
~~73|	|50
~~77|	|50
~~80|	|50
~~83|	|50
~~84|	|50
~~85|	|50
~~86|	|50
~~88|	|50
~~89|	|50
~~92|	|50
~~95|	|50
~~96|	|50
~~97|	|50
~~98|	|50
~~99|	|50
~~114|	|50
~~115|	|50
~~116|	|50
~~117|	|50
~~176|	|50
~~177|	|50
~~178|	|50
~~187|	|50
~~188|	|50
~~210|	|50
~~211|	|50
~~212|	|50
~~213|	|50
~~214|	|50
~~218|	|50
~~219|	|50
~~220|	|50
~~223|	|50
~~232|	|50
~~235|	|50
~~236|	|50
~~1|	|51
~~2|	|51
~~3|	|51
~~4|	|51
~~6|	|51
~~8|	|51
~~10|	|51
~~11|	|51
~~32|	|51
~~33|	|51
~~34|	|51
~~35|	|51
