~~Unit Leader|	|99|	|0|	|UnitLeader|	|0|	|0|	|0|	|8|	|1|	|ulead|	|0
~~TA Coordinator|	|100|	|0|	|TACoordinator|	|0|	|0|	|0|	|3|	|1|	|tacoord|	|0
~~TA Execution Manager|	|101|	|0|	|TAExecutionManager|	|0|	|0|	|0|	|3|	|1|	|taexemgr|	|0
~~TA Manager|	|102|	|0|	|TAManager|	|0|	|0|	|0|	|3|	|1|	|tamgr |	|0
~~TA Director|	|103|	|0|	|TADirector|	|0|	|0|	|0|	|3|	|1|	|tadir |	|0
~~TA Engineer|	|104|	|0|	|TAEngineer|	|0|	|0|	|0|	|3|	|0|	|taeng |	|0
~~Production Engineer|	|105|	|0|	|ProductionEngineer|	|0|	|0|	|0|	|5|	|1|	|prodeng|	|0
~~Process Engineer Target Admin|	|106|	|0|	|ProcessEngineerTargetAdmin|	|0|	|0|	|0|	|3|	|1|	|procengadm|	|0
~~Process Engineer|	|107|	|0|	|ProcessEngineer|	|0|	|0|	|0|	|3|	|1|	|processeng|	|0
~~Maintenance Supervisor|	|108|	|0|	|MaintenanceSupervisor|	|0|	|0|	|0|	|3|	|1|	|maintsup|	|0
~~Op‚rateur|	|109|	|0|	|Operator|	|0|	|0|	|0|	|9|	|1|	|oper|	|0
~~Superviseur|	|110|	|0|	|Supervisor|	|0|	|0|	|0|	|9|	|1|	|super|	|0
~~Administrateur des Op‚rations|	|111|	|0|	|OperationsAdministrator|	|1|	|0|	|0|	|9|	|0|	|admino|	|0
~~Lecture Seule|	|112|	|0|	|ReadUser|	|0|	|1|	|0|	|9|	|0|	|lect|	|1
~~Leader de  Secteur|	|113|	|0|	|TeamLeader|	|0|	|0|	|0|	|9|	|0|	|lead|	|0
~~Coordonnateur des Op‚rations|	|114|	|0|	|OperationsCoordinator|	|0|	|0|	|0|	|9|	|0|	|coord|	|0
~~Ing‚nieur|	|116|	|0|	|Engineer|	|0|	|0|	|0|	|9|	|0|	|ing|	|0
~~Administrateur des Permis|	|117|	|0|	|PermitAdministrator|	|0|	|0|	|0|	|9|	|0|	|adminp|	|0
~~Superviseur de l'Entretien|	|118|	|0|	|MaintenanceSupervisor|	|0|	|0|	|0|	|9|	|0|	|supere|	|0
~~Coordonnateur de l'Entretien|	|119|	|0|	|MaintenanceCoordinator|	|0|	|0|	|0|	|9|	|0|	|coorde|	|0
~~Entrepreneur de l'Entretien|	|120|	|0|	|MaintenanceContractor|	|0|	|0|	|1|	|9|	|0|	|entre|	|0
~~Supervisor|	|121|	|0|	|Supervisor|	|0|	|0|	|0|	|10|	|1|	|super|	|0
~~Operator|	|122|	|0|	|Operator|	|0|	|0|	|0|	|10|	|1|	|oper|	|0
~~Engineering|	|123|	|0|	|Engineering|	|0|	|0|	|0|	|10|	|1|	|eng|	|0
~~Read User|	|124|	|0|	|ReadUser|	|0|	|1|	|0|	|10|	|0|	|read|	|1
~~Administrator|	|125|	|0|	|Administrator|	|1|	|0|	|0|	|10|	|0|	|admin|	|0
~~Area Team Lead|	|127|	|0|	|AreaTeamLead|	|0|	|0|	|0|	|10|	|1|	|atlead|	|0
~~Lead Technician|	|129|	|0|	|LeadTechnician|	|0|	|0|	|0|	|10|	|1|	|ltech|	|0
~~Operations Coordinator|	|130|	|0|	|OperationsCoordinator|	|0|	|0|	|0|	|10|	|1|	|coord|	|0
~~Utilities Supervisor|	|131|	|0|	|EUSupervisor|	|0|	|0|	|0|	|6|	|1|	|eusuper|	|0
~~Contractor / Tradesperson|	|132|	|0|	|Contractor|	|0|	|0|	|0|	|8|	|1|	|cont|	|0
~~Scheduler|	|133|	|0|	|Scheduler|	|0|	|0|	|0|	|8|	|1|	|sched|	|0
~~TA Tech|	|134|	|0|	|TATech|	|0|	|0|	|0|	|8|	|1|	|tatech|	|0
~~TA Support|	|135|	|0|	|TATeamLeader|	|0|	|0|	|0|	|8|	|1|	|tasupport|	|0
~~Operator|	|136|	|0|	|Operator|	|0|	|0|	|0|	|11|	|1|	|oper|	|0
~~Shift Supervisor|	|137|	|0|	|Supervisor|	|0|	|0|	|0|	|11|	|1|	|super|	|0
~~Coordinator|	|138|	|0|	|Coordinator|	|0|	|0|	|0|	|11|	|1|	|coord|	|0
~~Engineer|	|139|	|0|	|Engineer|	|0|	|0|	|0|	|11|	|1|	|eng|	|0
~~Read User|	|141|	|0|	|ReadUser|	|0|	|1|	|0|	|11|	|0|	|read|	|1
~~Administrator|	|142|	|0|	|Administrator|	|1|	|0|	|0|	|11|	|0|	|admin|	|0
~~Team Lead|	|143|	|0|	|TeamLead|	|0|	|0|	|0|	|11|	|1|	|lead|	|0
~~Manager|	|144|	|0|	|Manager|	|0|	|0|	|0|	|11|	|1|	|mgr|	|0
~~Maintenance|	|145|	|0|	|Maintenance|	|0|	|0|	|0|	|11|	|1|	|maint|	|0
~~Technical Administrator|	|146|	|0|	|TechnicalAdmin|	|0|	|0|	|0|	|1|	|0|	|techadmin|	|0
~~Technical Administrator|	|147|	|0|	|TechnicalAdmin|	|0|	|0|	|0|	|2|	|0|	|techadmin|	|0
~~Technical Administrator|	|148|	|0|	|TechnicalAdmin|	|0|	|0|	|0|	|3|	|0|	|techadmin|	|0
~~Technical Administrator|	|149|	|0|	|TechnicalAdmin|	|0|	|0|	|0|	|5|	|0|	|techadmin|	|0
~~Technical Administrator|	|150|	|0|	|TechnicalAdmin|	|0|	|0|	|0|	|6|	|1|	|techadmin|	|0
~~Technical Administrator|	|151|	|0|	|TechnicalAdmin|	|0|	|0|	|0|	|7|	|0|	|techadmin|	|0
~~Technical Administrator|	|152|	|0|	|TechnicalAdmin|	|0|	|0|	|0|	|8|	|0|	|techadmin|	|0
~~Technical Administrator|	|153|	|0|	|TechnicalAdmin|	|0|	|0|	|0|	|9|	|0|	|techadmin|	|0
~~Technical Administrator|	|154|	|0|	|TechnicalAdmin|	|0|	|0|	|0|	|10|	|0|	|techadmin|	|0
~~Technical Administrator|	|155|	|0|	|TechnicalAdmin|	|0|	|0|	|0|	|11|	|0|	|techadmin|	|0
~~Support Coordinator|	|156|	|0|	|SupportCoordinator|	|0|	|0|	|0|	|8|	|1|	|supco|	|0
~~Running Unit Support|	|157|	|0|	|RunningUnitSupport|	|0|	|0|	|0|	|8|	|1|	|runningu|	|0
~~Maintenance Tech|	|158|	|0|	|MaintenanceTech|	|0|	|0|	|0|	|10|	|1|	|mainttech|	|0
~~Maintenance Supervisor|	|159|	|0|	|MaintenanceSupervisor|	|0|	|0|	|0|	|10|	|1|	|maintsup|	|0
~~Maintenance Coordinator|	|160|	|0|	|MaintenanceCoordinator|	|0|	|0|	|0|	|10|	|1|	|maintcoord|	|0
~~Scheduler|	|161|	|0|	|Scheduler|	|0|	|0|	|0|	|10|	|1|	|sched|	|0
~~Trade Supervisor|	|162|	|0|	|TradeSupervisor|	|0|	|0|	|0|	|10|	|1|	|tradesuper|	|0
~~TDS Dispatcher|	|163|	|0|	|TDSDispatcher|	|0|	|0|	|0|	|6|	|1|	|disp|	|0
~~TDS Manager / Superintendent|	|164|	|0|	|TDSManager|	|0|	|0|	|0|	|6|	|1|	|manager|	|0
~~TDS Engineer|	|165|	|0|	|TDSEngineer|	|0|	|0|	|0|	|6|	|1|	|eng|	|0
~~TDS Ops Coordinator|	|166|	|0|	|TDSOpsCoordinator|	|0|	|0|	|0|	|6|	|1|	|coord|	|0
~~Utilities Chief Engineer|	|167|	|0|	|EUChiefEngineer|	|0|	|0|	|0|	|6|	|1|	|euchiefeng|	|0
~~Utilities Manager|	|168|	|0|	|EUManager|	|0|	|0|	|0|	|6|	|1|	|eumgr|	|0
~~Utilities Day Manager|	|169|	|0|	|EUDayManager|	|0|	|0|	|0|	|6|	|1|	|eudaymgr|	|0
~~Utilities Senior Supervisor|	|170|	|0|	|EUSeniorSupervisor|	|0|	|0|	|0|	|6|	|1|	|eusrsuper|	|0
~~Utilities Day Supervisor|	|171|	|0|	|EUDaySupervisor|	|0|	|0|	|0|	|6|	|1|	|eudaysuper|	|0
