~~93|	|2329|	||	|2|	|0|	|3
~~94|	|2365|	|\\PRINTD01.network.lan\DEHP3035M03|	|2|	|1|	|3
~~95|	|507|	|\\PRINT201\SAHP5035M12|	|1|	|1|	|3
~~96|	|323|	|\\utilprdsar001\SAR001PR012|	|1|	|1|	|3
~~97|	|2219|	|\\utilprdsar001\SAR001PR041|	|1|	|0|	|3
~~98|	|497|	||	|1|	|1|	|3
~~99|	|2075|	||	|1|	|1|	|3
~~100|	|446|	|\\utilprdsar001\SAR001PR066|	|1|	|1|	|3
~~101|	|2310|	|\\PRINTD01\DEHPM5035M07|	|2|	|1|	|3
~~102|	|2334|	|\\PRINTD01\DESHM450N01|	|2|	|0|	|3
~~103|	|2338|	|\\PRINTD01\DE-HP9000M54|	|2|	|1|	|3
~~104|	|3051|	||	|1|	|1|	|3
~~105|	|2320|	||	|2|	|0|	|3
~~106|	|2533|	||	|2|	|1|	|3
~~107|	|2973|	|\\print201.network.lan\SAHP5035M09|	|1|	|1|	|3
~~108|	|3085|	|\\prtprdden001\DEN001PR019|	|2|	|1|	|3
~~109|	|2317|	||	|2|	|0|	|3
~~110|	|3020|	|\\PRINT201\SAHP5035M11|	|1|	|1|	|3
~~111|	|2319|	|\\prtprdden001\DEN001PR039|	|2|	|0|	|3
~~112|	|3097|	||	|2|	|1|	|3
~~113|	|2477|	||	|2|	|0|	|3
~~114|	|2333|	|\\http://prtprdden001\DEN001PR017|	|2|	|0|	|3
~~115|	|242|	|\\utilprdsar001\SAR001PR041|	|1|	|1|	|3
~~116|	|2482|	|\\prtprdden001\DEN001PR042|	|2|	|1|	|3
~~117|	|3767|	||	|1|	|1|	|3
~~118|	|2488|	||	|1|	|1|	|3
~~119|	|2300|	|\\prtprdden001\DEN001PR017|	|2|	|0|	|3
~~120|	|2501|	|\\prtprdden001\DEN001PR070|	|2|	|1|	|3
~~121|	|2336|	||	|1|	|1|	|3
~~122|	|4005|	||	|1|	|1|	|3
~~123|	|3288|	|\\PRTPRDDEN001\DEN001PR042|	|2|	|0|	|3
~~124|	|3086|	||	|2|	|1|	|3
~~125|	|3167|	|\\PRINT201\SAHP5035M10|	|1|	|1|	|3
~~126|	|2525|	|\\PRTPRDDEN001\DEN001PR069|	|2|	|0|	|3
~~127|	|2480|	||	|2|	|1|	|3
~~128|	|3285|	||	|2|	|1|	|3
~~129|	|3126|	||	|2|	|1|	|3
~~130|	|2549|	||	|2|	|1|	|3
~~131|	|2330|	|\\PRINTD01\DE-HP9000M54|	|1|	|1|	|3
~~132|	|2545|	||	|2|	|1|	|3
~~133|	|2465|	|\\prtprdden001\DEN001PR069|	|2|	|1|	|3
~~134|	|2298|	||	|2|	|1|	|3
~~135|	|261|	||	|1|	|1|	|3
~~136|	|2316|	|\\prtprdden001\DEN001PR059|	|2|	|0|	|3
~~137|	|2303|	||	|2|	|0|	|3
~~138|	|3083|	||	|2|	|1|	|3
~~139|	|2481|	||	|2|	|1|	|3
~~140|	|2275|	||	|1|	|1|	|3
~~141|	|2340|	||	|1|	|1|	|3
~~142|	|4168|	|\\utilprdsar001\SAR001PR041|	|1|	|1|	|3
~~143|	|2497|	|\\prtprdden001\DEN001PR054|	|1|	|1|	|3
~~144|	|4030|	||	|1|	|1|	|3
~~145|	|2243|	||	|1|	|1|	|3
