~~53|	|Poly - EP/AU|	|Poly - EP/AU|	|2|	|1|	|87|	|General|	|1|	|1|	|
~~54|	|Lead Operator - EP/AU|	|Lead Operator - EP/AU|	|2|	|1|	|57|	|General|	|1|	|1|	|
~~55|	|General Operator - EP/AU|	|General Operator - EP/AU|	|2|	|1|	|87|	|General|	|1|	|1|	|
~~56|	|Reformer - EP/AU|	|Reformer - EP/AU|	|2|	|1|	|87|	|General|	|1|	|1|	|
~~57|	|Controlman B - EP/AU|	|Controlman B - EP/AU|	|2|	|1|	|87|	|General|	|1|	|1|	|
~~58|	|Chief - EP/AU|	|Chief - EP/AU|	|2|	|1|	|87|	|General|	|1|	|1|	|
~~59|	|Turnaround- EP/AU|	|Turnaround- EP/AU|	|2|	|1|	|57|	|General|	|1|	|1|	|
~~60|	|Operator A- EP/AU|	|Operator A- EP/AU|	|2|	|1|	|57|	|General|	|1|	|1|	|
~~61|	|Shift Supervisor West|	|Shift Supervisor West|	|2|	|1|	|87|	|General|	|1|	|1|	|
~~62|	|Shift Supervisor East|	|Shift Supervisor East|	|2|	|1|	|87|	|General|	|1|	|1|	|
~~63|	|OMD East Supervisor|	|OMD East Supervisor|	|2|	|1|	|50|	|General|	|1|	|1|	|
~~64|	|AM-OMD|	|OMD Area Manager/Superintendent|	|2|	|1|	|87|	|General|	|1|	|1|	|
~~65|	|West Plant Environmental Operator|	|West Plant Environmental Operator|	|2|	|1|	|87|	|General|	|1|	|1|	|
~~66|	|Refinery Scheduler|	|Refinery Scheduler|	|2|	|0|	|82|	|Production Control|	|1|	|1|	|
~~67|	|Applications Plant 3/4|	|Default FLOCs for Plant 3/4 Applications|	|1|	|1|	|56|	|General|	|1|	|1|	|
~~68|	|91-1000 Area FLOC's|	|This will load the FLOC's specific to th|	|5|	|1|	|59|	|General|	|1|	|1|	|
~~69|	|91-3000 Area FLOC's|	|This will load the FLOC's specific to th|	|5|	|1|	|59|	|General|	|1|	|1|	|
~~70|	|92-1000 Area FLOC's|	|This will load the FLOC's specific to the 92-1000 Area|	|5|	|1|	|59|	|General|	|1|	|1|	|
~~71|	|Plant 91 Control Room|	|This will load the FLOC's associated wit|	|5|	|1|	|59|	|General|	|1|	|1|	|
~~72|	|Plant 92 Control Room|	|This will load the FLOC's that are associated with plant 92|	|5|	|1|	|59|	|General|	|1|	|1|	|
~~73|	|Primary Extraction Boardman|	|Primary Extraction Boardman|	|3|	|1|	|58|	|General|	|1|	|0|	|
~~74|	|Primary Extraction Supervisor|	|Primary Extraction Supervisor|	|3|	|1|	|58|	|General|	|1|	|0|	|
~~75|	|Primary Extraction Process Engineer|	|Primary Extraction Process Engineer|	|3|	|1|	|58|	|General|	|1|	|0|	|
~~76|	|Secondary Extraction Boardman|	|Secondary Extraction Boardman|	|3|	|1|	|58|	|General|	|1|	|0|	|
~~77|	|Secondary Extraction Supervisor|	|Secondary Extraction Supervisor|	|3|	|1|	|58|	|General|	|1|	|0|	|
~~78|	|Secondary Extraction Process Engineer|	|Secondary Extraction Process Engineer|	|3|	|1|	|58|	|General|	|1|	|0|	|
~~79|	|Millennium Extraction Boardman|	|Millennium Extraction Boardman|	|3|	|1|	|58|	|General|	|1|	|0|	|
~~80|	|Millennium Extraction Supervisor|	|Millennium Extraction Supervsior|	|3|	|1|	|58|	|General|	|1|	|0|	|
~~81|	|Millennium Extraction Process Engineer|	|Millennium Extraction Process Engineer|	|3|	|1|	|58|	|General|	|1|	|0|	|
~~2006|	|Upgrading Administrator|	|Upgrading Full Admin Rights|	|3|	|0|	|88|	|Oilsands General|	|1|	|0|	|
~~2007|	|Ext - Millennium Engineer|	|Extraction - Millennium Engineer|	|3|	|0|	|66|	|Extraction - Millennium|	|1|	|0|	|
~~2009|	|Ext-Millennium OPP|	|OPP Operator|	|3|	|0|	|58|	|Extraction - Millennium|	|1|	|0|	|
~~2010|	|UP1-Primary Field Operator Plant 5|	|UP1-Primary Field Operator Plant 5|	|3|	|0|	|58|	|UP1 - Primary|	|1|	|0|	|
~~2011|	|UP1-Secondary  Operator C.H.|	|UP1 - Secondary  Operator C.H.|	|3|	|0|	|58|	|UP1 - Secondary|	|1|	|0|	|
~~2012|	|Oilsands Read|	|Oilsands Read|	|3|	|0|	|74|	|Oilsands General|	|1|	|0|	|
~~2013|	|Restriction Report Admin 1|	|Restriction Report Admin|	|3|	|0|	|93|	|Oilsands General|	|1|	|0|	|
~~2014|	|Ext-Millennium Supervisor|	|Shift Supervisor|	|3|	|0|	|51|	|Extraction - Millennium|	|1|	|0|	|
~~2015|	|Ext-Primary Supervisor|	|Extraction - Primary Supervisor|	|3|	|0|	|51|	|Extraction - Primary|	|1|	|0|	|246
~~2017|	|UP1 - Primary Engineer|	|UP1 - Primary Engineer|	|3|	|0|	|66|	|UP1 - Primary|	|1|	|0|	|
~~2018|	|UP1 - Secondary Engineer|	|UP1 - Secondary Engineer|	|3|	|0|	|66|	|UP1 - Secondary|	|1|	|0|	|
~~2019|	|UP1 - Coker Engineer|	|UP1 - Coker Engineer|	|3|	|0|	|66|	|UP1 - Coker|	|1|	|0|	|
~~2020|	|UP2 - Coker Engineer|	|UP2 - Coker Engineer|	|3|	|0|	|66|	|UP2 - Coker|	|1|	|0|	|
~~2021|	|UP2 - Primary Engineer|	|UP2 - Primary Engineer|	|3|	|0|	|66|	|UP2 - Primary|	|1|	|0|	|
~~2022|	|UP2 - Secondary Engineer|	|UP2 - Secondary Engineer|	|3|	|0|	|66|	|UP2 - Secondary|	|1|	|0|	|
~~2024|	|Ext-Secondary Offplots|	|Extraction - Secondary Offplots|	|3|	|0|	|58|	|Extraction - Secondary|	|1|	|0|	|
~~2025|	|UP1-Coker Field Operator Coker 2|	|UP1 -Coker Field Operator Coker 2|	|3|	|0|	|58|	|UP1 - Coker|	|1|	|0|	|
~~2026|	|UP2 - Coker Field Operator - Top|	|UP2 - Coker Field Operator - Top|	|3|	|0|	|58|	|UP2 - Coker|	|1|	|0|	|
