~~2787044|	|1221390|	|H2 Consump 63FI52, MMSCFD|	||	|21|	|1|	|94.200000|	|14827|	|0
~~2787045|	|1221392|	|5F-1 Burner #1 (West) Pressure, PSIG|	||	|0|	|1|	|15.000000|	|20587|	|0
~~2787046|	|1221392|	|5F-2 Burner #1 (West) Pressure, PSIG|	||	|1|	|1|	|16.000000|	|20588|	|0
~~2787047|	|1221392|	|5F-3 Burner #1 (West) Pressure, PSIG|	||	|2|	|1|	|21.500000|	|20589|	|0
~~2787048|	|1221392|	|5F-1 Burner #2 Pressure, PSIG|	||	|3|	|1|	|15.000000|	|20590|	|0
~~2787049|	|1221392|	|5F-2 Burner #2 Pressure, PSIG|	||	|4|	|1|	|14.000000|	|20591|	|0
~~2787050|	|1221392|	|5F-3 Burner #2 Pressure, PSIG|	||	|5|	|1|	|20.000000|	|20592|	|0
~~2787051|	|1221392|	|5F-1 Burner #3 Pressure, PSIG|	||	|6|	|1|	|14.500000|	|20593|	|0
~~2787052|	|1221392|	|5F-2 Burner #3 Pressure, PSIG|	||	|7|	|1|	|15.500000|	|20594|	|0
~~2787053|	|1221392|	|5F-3 Burner #3 Pressure, PSIG|	||	|8|	|1|	|20.000000|	|20595|	|0
~~2787054|	|1221392|	|5F-1 Burner #4 (East) Pressure, PSIG|	||	|9|	|1|	|14.500000|	|20596|	|0
~~2787055|	|1221392|	|5F-2 Burner #4 (East) Pressure, PSIG|	||	|10|	|1|	|15.500000|	|20597|	|0
~~2787056|	|1221392|	|5F-3 Burner #4 (East) Pressure, PSIG|	||	|11|	|1|	|20.500000|	|20598|	|0
~~2787057|	|1221392|	|5F-1 Draft (at arch), "WC|	||	|12|	|1|	|-.200000|	|20599|	|0
~~2787058|	|1221392|	|5F-2 Draft (at arch), "WC|	||	|13|	|1|	|-.200000|	|20600|	|0
~~2787059|	|1221392|	|5F-3 Draft (at arch), "WC|	||	|14|	|1|	|-.200000|	|20601|	|0
~~2787060|	|1221392|	|Plt 5 Recycle H2S, PPM|	||	|15|	|1|	|.000000|	|20602|	|0
~~2787061|	|1221392|	|Plt 5 Recycle HCL, PPM|	||	|16|	|1|	|.500000|	|20603|	|0
~~2787062|	|1221392|	|Plt 5 Stab Off Gas H2S, PPM|	||	|17|	|1|	|1.500000|	|20604|	|0
~~2787063|	|1221392|	|Plt5 Stab Off Gas HCL, PPM|	||	|18|	|1|	|.000000|	|20605|	|0
~~2787064|	|1221392|	|Tempered H2O Tank Level, inches|	||	|22|	|1|	|173.000000|	|20730|	|0
~~2787065|	|1221336|	|CO Stk SO2 8FV141, <2.5 TONNES/D|	||	|1|	|1|	|.590000|	|14534|	|0
~~2787066|	|1221336|	|CO Stk Opacity 8AI147, <40%|	||	|2|	|1|	|5.700000|	|14535|	|0
~~2787067|	|1221336|	|Effluent Pond inlet pH, 34AI-3|	||	|3|	|1|	|7.100000|	|14536|	|0
~~2787068|	|1221336|	|Effluent Pond outlet pH, 34AI-2|	||	|4|	|1|	|8.200000|	|14537|	|0
~~2787069|	|1221336|	|Effluent Pond Inlet COD, mg/l|	||	|5|	|1|	|56.000000|	|14538|	|0
~~2787070|	|1221336|	|Effluent Pond Outlet COD, mg/l|	||	|6|	|1|	|49.000000|	|14539|	|0
~~2787071|	|1221336|	|Parshall Flume pH, 34AI1|	||	|7|	|1|	|8.300000|	|14540|	|0
~~2787072|	|1221336|	|Parshall Flume Flow 34FI6, M3/D|	||	|8|	|1|	|1511.000000|	|14541|	|0
~~2787073|	|1221336|	|Combined Effluent Flow, 34FNX27, M3/D|	||	|9|	|1|	|1541.000000|	|14542|	|0
~~2787074|	|1221336|	|Old Disposal Well Flow 34FI5, M3/D|	||	|10|	|1|	|1719.000000|	|14543|	|0
~~2787075|	|1221336|	|New Disposal Well Flow 34FI25, M3/D|	||	|11|	|1|	|2221.000000|	|14544|	|0
~~2787076|	|1221336|	|Old Well Annulus TK Lvl, %|	||	|12|	|1|	|75.000000|	|14545|	|0
~~2787077|	|1221336|	|New Well Annulus TK Lvl, %|	||	|13|	|1|	|95.000000|	|14546|	|0
~~2787078|	|1221336|	|19F1 Flare Stm OP 19FC1, <25%|	||	|14|	|1|	|22.000000|	|14547|	|0
~~2787079|	|1221336|	|19F11 Flare Stm OP 19FC44, <25%|	||	|15|	|1|	|28.000000|	|14548|	|0
~~2787080|	|1221336|	|34PI11 vs. Local Gauge, psig/psig|	|0|	|16|	|0|	||	|14549|	|0
~~2787081|	|1221336|	|34PI10 vs. Local Gauge, psig/psig|	|0|	|17|	|0|	||	|14550|	|0
~~2787082|	|1221336|	|pH Sample Pump 34G10, ON/OFF|	|ON|	|18|	|2|	||	|14551|	|0
~~2787083|	|1221336|	|Is Stm being vented, YES/NO|	|YES|	|19|	|2|	||	|14552|	|0
~~2787084|	|1221336|	|Are the Flares Married? YES/NO|	|YES|	|20|	|2|	||	|14553|	|0
~~2787107|	|1221359|	|BFW Bitumen|	|0.72|	|0|	|0|	||	|625|	|0
~~2787125|	|1221420|	|Gen10 Ave Quality|	|76|	|0|	|0|	||	|586|	|0
~~2787126|	|1221420|	|Gen10 High Pass|	|77|	|1|	|0|	||	|587|	|0
~~2787127|	|1221420|	|Gen20 Ave Quality|	|76|	|2|	|0|	||	|588|	|0
~~2787128|	|1221420|	|Gen20 High Pass|	|78|	|3|	|0|	||	|589|	|0
~~2787129|	|1221420|	|Gen30 Ave Quality|	|75|	|4|	|0|	||	|590|	|0
~~2787130|	|1221420|	|Gen30 High Pass|	|76|	|5|	|0|	||	|591|	|0
~~2787131|	|1221420|	|Gen40 Ave Quality|	|76|	|6|	|0|	||	|592|	|0
~~2787132|	|1221420|	|Gen40 High Pass|	|77|	|7|	|0|	||	|593|	|0
~~2787133|	|1221420|	|Gen51 Ave Quality|	|77|	|8|	|0|	||	|594|	|0
~~2787134|	|1221420|	|Gen51 High Pass|	|79|	|9|	|0|	||	|595|	|0
~~2787135|	|1221421|	|Gen20 Ave Quality|	|69|	|2|	|0|	||	|407|	|0
~~2787136|	|1221421|	|Gen20 High Pass|	|70|	|3|	|0|	||	|408|	|0
~~2787137|	|1221421|	|Gen30 Ave Quality|	|68|	|4|	|0|	||	|409|	|0
~~2787138|	|1221421|	|Gen30 High Pass|	|70|	|5|	|0|	||	|410|	|0
~~2787139|	|1221421|	|Gen Mix Fuel|	|20|	|8|	|0|	||	|413|	|0
~~2787140|	|1221421|	|HP Charge Pumps online 53|	|10|	|9|	|0|	||	|414|	|0
~~2787141|	|1221421|	|LP Booster Pump Online 51|	|30|	|10|	|0|	||	|415|	|0
~~2787142|	|1221427|	|Acid Regen Status, ON/OFF|	|ON|	|4|	|2|	||	|14638|	|0
~~2787143|	|1221427|	|Number of Dumps in Surge Drum, #|	|1|	|5|	|0|	||	|14639|	|0
~~2787144|	|1221427|	|Polymer Storage Drum Level, %|	||	|6|	|1|	|6.000000|	|14640|	|0
~~2787145|	|1221433|	|6C-9|	|45|	|0|	|0|	||	|14828|	|0
~~2787146|	|1221433|	|6C-10|	|48|	|1|	|0|	||	|14829|	|0
~~2787147|	|1221433|	|6C-11|	|74|	|2|	|0|	||	|14830|	|0
~~2787148|	|1221433|	|6C-12|	|30|	|3|	|0|	||	|14831|	|0
~~2787149|	|1221433|	|6C-14|	|50|	|4|	|0|	||	|14832|	|0
~~2787150|	|1221433|	|6C-4|	|40|	|5|	|0|	||	|14833|	|0
~~2787151|	|1221433|	|6C-12 DP|	|4.2|	|8|	|0|	||	|14836|	|0
~~2787152|	|1221433|	|6FI-14|	|4|	|9|	|0|	||	|14837|	|0
